episode,number_of_vehciles,number_of_pedestrians,accumulated_wait_times,accumulated_queue_length,accumulated_pedestrian_wait_times,accumulated_total_fuel_consumption,TL101_stopped,TL101_accumulated_waiting_time,TL101_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,rewards,accumulated_avg_wait_times,accumulated_pedestrian_avg_wait_times,accumulated_average_fuel_consumption,accumulated_avg_queue_length
1,1827.0,0.0,27489.0,27489.0,0.0,69001179.2515553,26734.0,3953017.0,126.7334564888033,26734.0,3953017.0,-699.9000000000001,15.045977011494251,0.0,37767.476328163815,2.8634375
2,1959.0,0.0,26547.0,26547.0,0.0,73084649.2560451,25772.0,1499512.0,139.2364324800073,25772.0,1499512.0,-499.68,13.551301684532923,0.0,37307.120600329305,2.7653125
3,1878.0,0.0,28235.0,28235.0,0.0,73608470.42718852,27485.0,1382643.0,133.36639646288626,27485.0,1382643.0,-501.96,15.034611288604898,0.0,39195.13867262434,2.941145833333333
4,1948.0,0.0,26279.0,26279.0,0.0,72605356.45665607,25524.0,1146602.0,136.41636958757584,25524.0,1146602.0,-445.05,13.490246406570842,0.0,37271.74356091174,2.7373958333333333
5,1974.0,0.0,25378.0,25378.0,0.0,72103910.94668245,24593.0,1551741.0,138.9380460349625,24593.0,1551741.0,-462.97,12.85612968591692,0.0,36526.80392435788,2.6435416666666667
6,1921.0,0.0,26634.0,26634.0,0.0,74581008.13490862,25871.0,944787.0,131.30310664458065,25871.0,944787.0,-420.7,13.864653826132225,0.0,38824.05420869788,2.774375
7,1969.0,0.0,23122.0,23122.0,0.0,69300453.62484014,22354.0,822561.0,137.71200555382077,22354.0,822561.0,-407.42,11.743016759776536,0.0,35195.76110961917,2.408541666666667
8,1994.0,0.0,26192.0,26192.0,0.0,73051153.0834279,25398.0,945139.0,140.66358656521228,25398.0,945139.0,-437.04,13.135406218655968,0.0,36635.48299068601,2.728333333333333
9,1933.0,0.0,28769.0,28769.0,0.0,76122416.98069605,28035.0,1553537.0,132.45765849379092,28035.0,1553537.0,-559.11,14.883083290222451,0.0,39380.45368892708,2.996770833333333
10,1920.0,0.0,26935.0,26935.0,0.0,75143285.11405018,26161.0,1264154.0,127.46980668404667,26161.0,1264154.0,-453.23,14.028645833333334,0.0,39137.1276635678,2.8057291666666666
11,1967.0,0.0,24082.0,24082.0,0.0,71006119.53630114,23297.0,886849.0,140.3040030303794,23297.0,886849.0,-406.66,12.243009659379766,0.0,36098.68812216631,2.5085416666666664
12,1923.0,0.0,27735.0,27735.0,0.0,75756275.73393524,26958.0,1169559.0,127.41104278910494,26958.0,1169559.0,-458.05,14.422776911076443,0.0,39394.83917521333,2.8890625
13,1934.0,0.0,24624.0,24624.0,0.0,71661704.2133161,23901.0,958202.0,137.81704457569805,23901.0,958202.0,-420.16,12.732161323681488,0.0,37053.62162012208,2.565
14,1988.0,0.0,27355.0,27355.0,0.0,75271009.79953855,26593.0,927993.0,124.40056086505872,26593.0,927993.0,-449.71,13.760060362173038,0.0,37862.68098568338,2.849479166666667
15,1978.0,0.0,25151.0,25151.0,0.0,73807266.73640576,24374.0,974802.0,132.2016303208656,24374.0,974802.0,-390.73,12.71536905965622,0.0,37314.088339942246,2.619895833333333
16,1941.0,0.0,27856.0,27856.0,0.0,75486689.11460175,27096.0,1127638.0,128.39585699223218,27096.0,1127638.0,-473.63,14.351365275631116,0.0,38890.61778186592,2.901666666666667
17,1983.0,0.0,27828.0,27828.0,0.0,76190894.95930025,27042.0,996298.0,127.86764766794286,27042.0,996298.0,-461.49,14.033282904689864,0.0,38422.03477523966,2.89875
18,1967.0,0.0,25803.0,25803.0,0.0,73820486.97197089,25016.0,1007785.0,129.2300099125145,25016.0,1007785.0,-416.73,13.117946110828672,0.0,37529.47990440818,2.6878125
19,1978.0,0.0,27135.0,27135.0,0.0,76293473.13603476,26342.0,947409.0,126.39277012091212,26342.0,947409.0,-429.3200000000001,13.718402426693627,0.0,38571.017763414944,2.8265625
20,1968.0,0.0,25898.0,25898.0,0.0,75530089.47924623,25131.0,1031890.0,127.80877770591292,25131.0,1031890.0,-418.82,13.159552845528456,0.0,38379.11050774707,2.6977083333333334
