episode,number_of_vehciles,number_of_pedestrians,accumulated_wait_times,accumulated_queue_length,accumulated_pedestrian_wait_times,accumulated_total_fuel_consumption,TL101_stopped,TL101_accumulated_waiting_time,TL101_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,rewards,accumulated_avg_wait_times,accumulated_pedestrian_avg_wait_times,accumulated_average_fuel_consumption,accumulated_avg_queue_length
1,1834.0,0.0,31845.0,31845.0,0.0,76766062.5392475,31076.0,3791700.0,119.55184022214988,31076.0,3791700.0,-749.84,17.363685932388222,0.0,41857.1769570597,3.3171875
2,1952.0,0.0,29577.0,29577.0,0.0,74914415.94234379,28820.0,2287976.0,122.22187429156502,28820.0,2287976.0,-669.1600000000001,15.152151639344265,0.0,38378.28685570891,3.0809375
3,1930.0,0.0,29406.0,29406.0,0.0,73899958.63954717,28641.0,1674110.0,132.3909148321979,28641.0,1674110.0,-616.16,15.236269430051811,0.0,38290.13401012807,3.063125
4,1969.0,0.0,31576.0,31576.0,0.0,77180137.90591282,30814.0,2114545.0,120.88012852130024,30814.0,2114545.0,-719.1099999999999,16.036566785170137,0.0,39197.63225287599,3.2891666666666666
5,1949.0,0.0,44982.0,44982.0,0.0,88491528.71067095,44229.0,4867874.0,105.21460192563713,44229.0,4867874.0,-1213.83,23.079527963057977,0.0,45403.55500804051,4.685625
6,1983.0,0.0,35094.0,35094.0,0.0,82576163.99627197,34306.0,1718720.0,115.44323457409686,34306.0,1718720.0,-672.7,17.697428139183057,0.0,41642.03933246191,3.655625
7,1947.0,0.0,30945.0,30945.0,0.0,77780739.54932782,30173.0,1947252.0,124.9256084117968,30173.0,1947252.0,-573.3399999999999,15.893682588597844,0.0,39949.01877212523,3.2234375
8,2005.0,0.0,35209.0,35209.0,0.0,82965482.01613137,34423.0,2517446.0,121.3691287559279,34423.0,2517446.0,-688.59,17.56059850374065,0.0,41379.292776125374,3.6676041666666666
9,1981.0,0.0,33018.0,33018.0,0.0,80487621.03814353,32209.0,2321504.0,116.40247536892052,32209.0,2321504.0,-669.3,16.6673397274104,0.0,40629.79355787155,3.439375
10,1919.0,0.0,30339.0,30339.0,0.0,77090160.32644096,29599.0,1752112.0,128.06202354934814,29599.0,1752112.0,-587.5799999999999,15.8097967691506,0.0,40172.04811174621,3.1603125
11,1857.0,0.0,30781.0,30781.0,0.0,78640095.21859318,30031.0,1480610.0,120.73415343501983,30031.0,1480610.0,-535.66,16.575659666128164,0.0,42347.92418879546,3.206354166666667
12,1971.0,0.0,29522.0,29522.0,0.0,77336255.19453207,28729.0,1337507.0,128.83498616626943,28729.0,1337507.0,-511.49,14.97818366311517,0.0,39237.06504035112,3.0752083333333333
13,1912.0,0.0,29619.0,29619.0,0.0,77283748.23550805,28858.0,1112021.0,119.67269690854955,28858.0,1112021.0,-485.69,15.491108786610878,0.0,40420.3704160607,3.0853125
14,1918.0,0.0,32243.0,32243.0,0.0,80277606.176688,31465.0,1416097.0,111.60917057608576,31465.0,1416097.0,-583.0,16.810740354535977,0.0,41854.85202121377,3.3586458333333336
15,1923.0,0.0,28381.0,28381.0,0.0,77018118.17373712,27615.0,1284752.0,124.32332498276683,27615.0,1284752.0,-495.48,14.758710348413937,0.0,40051.02349128296,2.956354166666667
16,1945.0,0.0,26777.0,26777.0,0.0,74463192.27453732,26000.0,1184127.0,124.30502654255162,26000.0,1184127.0,-462.95,13.767095115681236,0.0,38284.41762187009,2.789270833333333
17,1919.0,0.0,26271.0,26271.0,0.0,74651360.54113773,25504.0,1248571.0,125.22153950576268,25504.0,1248571.0,-490.02,13.689942678478374,0.0,38901.17797870647,2.7365625
18,1958.0,0.0,25419.0,25419.0,0.0,73150968.03374058,24669.0,1038360.0,129.76557140105444,24669.0,1038360.0,-491.37,12.982124616956078,0.0,37360.0449610524,2.6478125
19,1843.0,0.0,26963.0,26963.0,0.0,75452007.59654196,26226.0,1241073.0,121.4936296547046,26226.0,1241073.0,-502.94,14.629951166576234,0.0,40939.77623252412,2.8086458333333333
20,1941.0,0.0,24523.0,24523.0,0.0,72096580.30435613,23780.0,1529625.0,139.28278419145812,23780.0,1529625.0,-440.91,12.634209170530657,0.0,37144.03931187848,2.554479166666667
