episode,number_of_vehciles,number_of_pedestrians,accumulated_wait_times,accumulated_queue_length,accumulated_pedestrian_wait_times,accumulated_total_fuel_consumption,TL101_stopped,TL101_accumulated_waiting_time,TL101_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,rewards,accumulated_avg_wait_times,accumulated_pedestrian_avg_wait_times,accumulated_average_fuel_consumption,accumulated_avg_queue_length
1,1787.0,0.0,27054.0,27054.0,0.0,72189680.27547619,26312.0,6540090.0,119.3653230210558,26312.0,6540090.0,-583.3899999999999,15.139339675433687,0.0,40397.13501705439,2.818125
2,1961.0,0.0,27546.0,27546.0,0.0,73384205.16941768,26759.0,2713480.0,129.413243119669,26759.0,2713480.0,-549.1600000000001,14.04691483936767,0.0,37421.82823529714,2.869375
3,1922.0,0.0,42426.0,42426.0,0.0,83418177.65486407,41653.0,10164755.0,109.14001248506764,41653.0,10164755.0,-1212.6,22.0738813735692,0.0,43401.75736465352,4.419375
4,1950.0,0.0,24326.0,24326.0,0.0,71764759.65780297,23572.0,1370138.0,140.34102184660276,23572.0,1370138.0,-458.25,12.474871794871795,0.0,36802.44085015537,2.533958333333333
5,1992.0,0.0,29228.0,29228.0,0.0,76080116.18576182,28451.0,1574497.0,119.83187575178736,28451.0,1574497.0,-564.25,14.67269076305221,0.0,38192.829410523,3.044583333333333
6,1881.0,0.0,31169.0,31169.0,0.0,77505820.59182861,30414.0,1498125.0,127.7954000751779,30414.0,1498125.0,-615.26,16.57044125465178,0.0,41204.58298342829,3.246770833333333
7,2012.0,0.0,28791.0,28791.0,0.0,75423372.67342749,28010.0,1504990.0,126.78642361143588,28010.0,1504990.0,-547.5600000000001,14.309642147117296,0.0,37486.76574226018,2.9990625
8,1905.0,0.0,45347.0,45347.0,0.0,90177945.36868508,44550.0,4971449.0,109.16313296234271,44550.0,4971449.0,-1174.46,23.804199475065616,0.0,47337.50413054335,4.723645833333333
9,1977.0,0.0,27721.0,27721.0,0.0,73497951.37332523,26919.0,1585317.0,132.80583770749874,26919.0,1585317.0,-533.0899999999999,14.021750126454224,0.0,37176.5054999116,2.8876041666666667
10,2112.0,0.0,29181.0,29181.0,0.0,75925403.6342561,28387.0,1716089.0,135.62348161515803,28387.0,1716089.0,-604.71,13.816761363636363,0.0,35949.52823591671,3.0396875
11,1917.0,0.0,29721.0,29721.0,0.0,75276216.00211707,28947.0,2148656.0,128.98591501027195,28947.0,2148656.0,-645.7900000000001,15.503912363067291,0.0,39267.71831096352,3.0959375
12,1912.0,0.0,25368.0,25368.0,0.0,72976221.08179367,24585.0,1457577.0,129.51260500153683,24585.0,1457577.0,-461.7800000000001,13.267782426778243,0.0,38167.479645289575,2.6425
13,2016.0,0.0,25194.0,25194.0,0.0,72160994.8011139,24417.0,1493515.0,139.32505903479986,24417.0,1493515.0,-480.38,12.49702380952381,0.0,35794.14424658428,2.624375
14,1901.0,0.0,28145.0,28145.0,0.0,75020053.49403064,27393.0,1563704.0,129.55024805748633,27393.0,1563704.0,-512.69,14.805365597054182,0.0,39463.46843452427,2.931770833333333
15,2038.0,0.0,24162.0,24162.0,0.0,72442550.54378626,23393.0,903281.0,134.48703334858033,23393.0,903281.0,-389.26,11.855740922473013,0.0,35545.903112750864,2.516875
16,1952.0,0.0,25732.0,25732.0,0.0,72968732.62674436,24982.0,1021784.0,133.04889765510833,24982.0,1021784.0,-448.28,13.182377049180328,0.0,37381.52286206166,2.6804166666666664
17,1937.0,0.0,31080.0,31080.0,0.0,78999299.24202594,30323.0,1286599.0,118.00171557146524,30323.0,1286599.0,-574.5,16.045431078988127,0.0,40784.35686217137,3.2375
18,1962.0,0.0,31945.0,31945.0,0.0,80995973.85969691,31183.0,1325914.0,118.23697977931288,31183.0,1325914.0,-588.86,16.281855249745156,0.0,41282.35161044695,3.3276041666666667
19,1944.0,0.0,29059.0,29059.0,0.0,77800179.74224122,28263.0,1199675.0,121.52677520163354,28263.0,1199675.0,-514.28,14.948045267489713,0.0,40020.66859168787,3.0269791666666666
20,1846.0,0.0,30106.0,30106.0,0.0,79001955.10101557,29345.0,1199072.0,120.47624320997312,29345.0,1199072.0,-525.1800000000001,16.30877573131094,0.0,42796.29203738655,3.136041666666667
