episode,number_of_vehciles,number_of_pedestrians,accumulated_wait_times,accumulated_queue_length,accumulated_pedestrian_wait_times,accumulated_total_fuel_consumption,TL101_stopped,TL101_accumulated_waiting_time,TL101_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,rewards,accumulated_avg_wait_times,accumulated_pedestrian_avg_wait_times,accumulated_average_fuel_consumption,accumulated_avg_queue_length
1,1443.0,0.0,34222.0,34222.0,0.0,72766677.15157662,33460.0,10947069.0,104.39866732549514,33460.0,10947069.0,-33460.0,23.715869715869715,0.0,50427.35769340029,3.564791666666667
2,1430.0,0.0,22572.0,22572.0,0.0,60493433.65022051,21806.0,8732042.0,131.7257799975594,21806.0,8732042.0,-21806.0,15.784615384615384,0.0,42303.10045469966,2.35125
3,1469.0,0.0,22432.0,22432.0,0.0,60153941.036120005,21663.0,7832035.0,142.9797245584895,21663.0,7832035.0,-21663.0,15.270251872021785,0.0,40948.904721661,2.3366666666666664
4,1679.0,0.0,21791.0,21791.0,0.0,60306770.15190858,21026.0,6422806.0,152.2568639138972,21026.0,6422806.0,-21026.0,12.978558665872542,0.0,35918.26691596699,2.269895833333333
5,1971.0,0.0,22094.0,22094.0,0.0,63439642.7353376,21340.0,4390738.0,150.76733077638715,21340.0,4390738.0,-21340.0,11.209538305428715,0.0,32186.52599459036,2.301458333333333
6,1840.0,0.0,19712.0,19712.0,0.0,59203779.316550605,18954.0,5672538.0,162.5729476535812,18954.0,5672538.0,-18954.0,10.71304347826087,0.0,32175.96701986446,2.053333333333333
7,1734.0,0.0,21241.0,21241.0,0.0,58458812.50658475,20453.0,8056077.0,156.58519686653716,20453.0,8056077.0,-20453.0,12.24971164936563,0.0,33713.271341744374,2.2126041666666665
8,1796.0,0.0,20595.0,20595.0,0.0,60794560.51180169,19815.0,6259369.0,157.3308497976038,19815.0,6259369.0,-19815.0,11.467149220489976,0.0,33849.978013252614,2.1453125
9,1704.0,0.0,20549.0,20549.0,0.0,61489388.4887369,19785.0,6764762.0,157.65705647791276,19785.0,6764762.0,-19785.0,12.059272300469484,0.0,36085.32188306156,2.140520833333333
10,1696.0,0.0,21106.0,21106.0,0.0,60518298.57173484,20353.0,7829962.0,154.53572893890896,20353.0,7829962.0,-20353.0,12.444575471698114,0.0,35682.9590635229,2.198541666666667
11,1690.0,0.0,20637.0,20637.0,0.0,60865612.03089814,19878.0,9126478.0,159.11371877026806,19878.0,9126478.0,-19878.0,12.211242603550296,0.0,36015.15504786872,2.1496875
12,1702.0,0.0,20287.0,20287.0,0.0,60173144.21743177,19523.0,8541375.0,156.2345769030759,19523.0,8541375.0,-19523.0,11.919506462984724,0.0,35354.373805776595,2.1132291666666667
13,1743.0,0.0,21528.0,21528.0,0.0,61246669.69727856,20786.0,7245537.0,152.95578636587274,20786.0,7245537.0,-20786.0,12.351118760757316,0.0,35138.65157617818,2.2425
14,1720.0,0.0,20582.0,20582.0,0.0,59928726.40234888,19828.0,7371711.0,156.83454935739536,19828.0,7371711.0,-19828.0,11.966279069767442,0.0,34842.282792063306,2.1439583333333334
15,1715.0,0.0,20682.0,20682.0,0.0,60847768.15684928,19906.0,7960567.0,156.71310792729298,19906.0,7960567.0,-19906.0,12.059475218658893,0.0,35479.74819641357,2.154375
16,1709.0,0.0,19990.0,19990.0,0.0,59398896.76658481,19212.0,8729823.0,162.9356852939619,19212.0,8729823.0,-19212.0,11.696898771211234,0.0,34756.52239121405,2.082291666666667
17,1716.0,0.0,20970.0,20970.0,0.0,60566998.28199654,20215.0,7147926.0,153.43354536103638,20215.0,7147926.0,-20215.0,12.22027972027972,0.0,35295.453544287026,2.184375
18,1801.0,0.0,21087.0,21087.0,0.0,60374883.07534094,20323.0,6630845.0,158.29778401322625,20323.0,6630845.0,-20323.0,11.708495280399775,0.0,33522.97783194944,2.1965625
19,1764.0,0.0,20833.0,20833.0,0.0,60278030.18550759,20056.0,6768319.0,159.29384626926844,20056.0,6768319.0,-20056.0,11.810090702947846,0.0,34171.21892602471,2.1701041666666665
20,1834.0,0.0,20587.0,20587.0,0.0,60577434.05759451,19814.0,4672648.0,165.31780520762675,19814.0,4672648.0,-19814.0,11.225190839694656,0.0,33030.22576749973,2.1444791666666667
21,1742.0,0.0,20674.0,20674.0,0.0,59658350.615775466,19910.0,8090815.0,160.2168372992176,19910.0,8090815.0,-19910.0,11.86796785304248,0.0,34247.04398150142,2.1535416666666665
22,1710.0,0.0,21071.0,21071.0,0.0,60462792.06458607,20315.0,7827901.0,157.4317121787471,20315.0,7827901.0,-20315.0,12.322222222222225,0.0,35358.35793250648,2.1948958333333333
23,1801.0,0.0,22318.0,22318.0,0.0,61653468.05381852,21535.0,6694187.0,145.58298590294555,21535.0,6694187.0,-21535.0,12.39200444197668,0.0,34232.90841411355,2.3247916666666666
24,1738.0,0.0,21346.0,21346.0,0.0,61255820.28736038,20581.0,6645739.0,151.5639932386174,20581.0,6645739.0,-20581.0,12.2819332566168,0.0,35245.00591907962,2.2235416666666667
25,1711.0,0.0,20581.0,20581.0,0.0,59407924.661919296,19860.0,7234612.0,162.71106278445848,19860.0,7234612.0,-19860.0,12.02863822326125,0.0,34721.17163174711,2.143854166666667
26,1837.0,0.0,20191.0,20191.0,0.0,59610654.12106925,19421.0,6424313.0,166.88733670470174,19421.0,6424313.0,-19421.0,10.99129014697877,0.0,32450.002243369217,2.1032291666666665
