episode,number_of_vehciles,number_of_pedestrians,accumulated_wait_times,accumulated_queue_length,accumulated_pedestrian_wait_times,accumulated_total_fuel_consumption,TL101_stopped,TL101_accumulated_waiting_time,TL101_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,rewards,accumulated_avg_wait_times,accumulated_pedestrian_avg_wait_times,accumulated_average_fuel_consumption,accumulated_avg_queue_length
1,1656.0,0.0,40988.0,40988.0,0.0,77516107.5900525,40233.0,10566088.0,117.93590282491904,40233.0,10566088.0,0.0,24.7512077294686,0.0,46809.24371379982,4.269583333333333
2,1573.0,0.0,23333.0,23333.0,0.0,60167338.86638771,22551.0,10036397.0,141.90068451125669,22551.0,10036397.0,0.0,14.833439287984742,0.0,38250.05649484279,2.430520833333333
3,1970.0,0.0,22699.0,22699.0,0.0,63592264.98621213,21907.0,6719527.0,155.82218634173262,21907.0,6719527.0,0.0,11.52233502538071,0.0,32280.337556452854,2.3644791666666665
4,1958.0,0.0,21981.0,21981.0,0.0,63763042.1137093,21205.0,5933501.0,162.50555279125143,21205.0,5933501.0,0.0,11.226251276813077,0.0,32565.394337951635,2.2896875
5,2106.0,0.0,26013.0,26013.0,0.0,67985911.46173675,25254.0,7333822.0,156.73181624584709,25254.0,7333822.0,0.0,12.351851851851851,0.0,32282.00924109057,2.7096875
6,2037.0,0.0,24600.0,24600.0,0.0,65715807.828302406,23803.0,7577232.0,151.4410794896531,23803.0,7577232.0,0.0,12.076583210603827,0.0,32261.07404433108,2.5625
7,2075.0,0.0,24250.0,24250.0,0.0,66914864.20015938,23477.0,6180178.0,141.7541402951391,23477.0,6180178.0,0.0,11.686746987951809,0.0,32248.127325378013,2.5260416666666665
8,1902.0,0.0,30475.0,30475.0,0.0,71860131.52093455,29698.0,5689824.0,122.9246579268701,29698.0,5689824.0,0.0,16.02260778128286,0.0,37781.35200890355,3.1744791666666665
9,1956.0,0.0,26115.0,26115.0,0.0,66155913.75020239,25339.0,7396319.0,140.93917123792266,25339.0,7396319.0,0.0,13.35122699386503,0.0,33822.041794582,2.7203125
10,1991.0,0.0,24410.0,24410.0,0.0,65646741.20780029,23631.0,5424924.0,145.55614612273092,23631.0,5424924.0,0.0,12.260170768458062,0.0,32971.743449422545,2.542708333333333
11,1907.0,0.0,25707.0,25707.0,0.0,65948379.60542967,24969.0,5694566.0,144.82039602832953,24969.0,5694566.0,0.0,13.480335605663344,0.0,34582.26513132128,2.6778125
12,1805.0,0.0,29823.0,29823.0,0.0,67416693.44100338,29058.0,8589993.0,126.0331636934863,29058.0,8589993.0,0.0,16.522437673130195,0.0,37349.96866537583,3.1065625
13,1753.0,0.0,30509.0,30509.0,0.0,67825793.0173194,29759.0,7628484.0,119.97393917603956,29759.0,7628484.0,0.0,17.403879064460924,0.0,38691.26812168819,3.178020833333333
14,1774.0,0.0,28810.0,28810.0,0.0,66625996.80729385,28049.0,8344593.0,128.56847918109042,28049.0,8344593.0,0.0,16.24013528748591,0.0,37556.93168393114,3.0010416666666666
15,1996.0,0.0,28482.0,28482.0,0.0,69085946.80475304,27702.0,7039679.0,127.1133780550961,27702.0,7039679.0,0.0,14.269539078156312,0.0,34612.19779797246,2.966875
16,1985.0,0.0,25316.0,25316.0,0.0,68201437.12829179,24572.0,5098550.0,145.09090241975673,24572.0,5098550.0,0.0,12.753652392947105,0.0,34358.40661374901,2.637083333333333
17,1887.0,0.0,29014.0,29014.0,0.0,69020029.90128936,28264.0,6659434.0,134.7617590726879,28264.0,6659434.0,0.0,15.375728669846318,0.0,36576.592422516886,3.022291666666667
18,1884.0,0.0,28455.0,28455.0,0.0,67194275.07287756,27682.0,5693754.0,123.38663183903653,27682.0,5693754.0,0.0,15.103503184713375,0.0,35665.75110025348,2.9640625
19,1923.0,0.0,39591.0,39591.0,0.0,80108187.08232528,38833.0,6063776.0,112.97262198380784,38833.0,6063776.0,0.0,20.588143525741028,0.0,41657.923599753136,4.1240625
20,2026.0,0.0,35399.0,35399.0,0.0,76408461.25782792,34631.0,6738060.0,119.625720480373,34631.0,6738060.0,0.0,17.472359328726554,0.0,37713.94928816778,3.687395833333333
