episode,number_of_vehciles,number_of_pedestrians,accumulated_wait_times,accumulated_queue_length,accumulated_pedestrian_wait_times,accumulated_total_fuel_consumption,TL101_stopped,TL101_accumulated_waiting_time,TL101_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,rewards,accumulated_avg_wait_times,accumulated_pedestrian_avg_wait_times,accumulated_average_fuel_consumption,accumulated_avg_queue_length
1,1464.0,0.0,42589.0,42589.0,0.0,78797360.52379987,41825.0,9782970.0,92.82926561851087,41825.0,9782970.0,-53429.0,29.09084699453552,0.0,53823.333691120126,4.436354166666667
2,1419.0,0.0,23813.0,23813.0,0.0,61780427.37361088,23048.0,10524174.0,134.601074974242,23048.0,10524174.0,-32047.0,16.7815362931642,0.0,43538.00378689984,2.4805208333333333
3,1532.0,0.0,23536.0,23536.0,0.0,57435680.84767767,22767.0,11551810.0,149.48949312737017,22767.0,11551810.0,-25657.0,15.362924281984334,0.0,37490.65329482877,2.4516666666666667
4,1466.0,0.0,24888.0,24888.0,0.0,58013274.19714101,24158.0,12252032.0,137.17392739011834,24158.0,12252032.0,-27564.0,16.976807639836288,0.0,39572.49263106481,2.5925
5,1557.0,0.0,25133.0,25133.0,0.0,57965839.49935146,24375.0,12963501.0,141.75090018401727,24375.0,12963501.0,-26896.0,16.14193962748876,0.0,37229.1840072906,2.618020833333333
6,1527.0,0.0,23986.0,23986.0,0.0,56806207.9848506,23202.0,11804744.0,144.90530205728166,23202.0,11804744.0,-26078.0,15.7079240340537,0.0,37201.184011035104,2.4985416666666667
7,1532.0,0.0,23637.0,23637.0,0.0,57444013.93649574,22876.0,12253714.0,145.3598935389128,22876.0,12253714.0,-25776.0,15.428851174934726,0.0,37496.09264784317,2.4621875
8,1549.0,0.0,23001.0,23001.0,0.0,56802676.6570639,22226.0,12555730.0,146.44516207595564,22226.0,12555730.0,-25509.0,14.848934796642997,0.0,36670.546582998,2.3959375
9,1605.0,0.0,24356.0,24356.0,0.0,58455856.72181367,23573.0,12250215.0,144.66569356602463,23573.0,12250215.0,-26135.0,15.175077881619938,0.0,36421.09453072503,2.5370833333333334
10,1577.0,0.0,24432.0,24432.0,0.0,58817600.31487337,23667.0,11343189.0,142.8378049266028,23667.0,11343189.0,-27245.0,15.492707672796447,0.0,37297.14668032553,2.545
11,1529.0,0.0,23102.0,23102.0,0.0,56508675.51361787,22328.0,10745694.0,140.80200464226323,22328.0,10745694.0,-25474.0,15.10922171353826,0.0,36957.93035553818,2.406458333333333
12,1541.0,0.0,23404.0,23404.0,0.0,56795320.43848145,22630.0,12731147.0,144.50124169418694,22630.0,12731147.0,-25553.0,15.187540558079167,0.0,36856.14564469919,2.4379166666666667
13,1591.0,0.0,23304.0,23304.0,0.0,57338241.43197303,22512.0,9851342.0,145.60475845966295,22512.0,9851342.0,-26265.0,14.647391577624136,0.0,36039.12095032875,2.4275
14,1462.0,0.0,23221.0,23221.0,0.0,56270717.5285395,22499.0,10705116.0,143.56147667305947,22499.0,10705116.0,-25592.0,15.883036935704514,0.0,38488.86287861799,2.4188541666666667
15,1564.0,0.0,23059.0,23059.0,0.0,56655259.952082366,22270.0,11513187.0,146.67073208251747,22270.0,11513187.0,-25677.0,14.743606138107417,0.0,36224.590762201,2.4019791666666666
16,1572.0,0.0,23078.0,23078.0,0.0,56333789.55424121,22323.0,11320851.0,147.61920445459648,22323.0,11320851.0,-25149.0,14.680661577608143,0.0,35835.74399124759,2.403958333333333
17,1718.0,0.0,27577.0,27577.0,0.0,63230736.0063511,26829.0,10263595.0,139.55438966898708,26829.0,10263595.0,-29752.0,16.051804423748546,0.0,36804.85215736385,2.872604166666666
18,1636.0,0.0,22517.0,22517.0,0.0,57406122.67788966,21740.0,9882132.0,151.9487198619239,21740.0,9882132.0,-24224.0,13.763447432762836,0.0,35089.31704027485,2.345520833333333
19,1626.0,0.0,24619.0,24619.0,0.0,59960352.65281536,23835.0,8396351.0,142.23655357096317,23835.0,8396351.0,-27322.0,15.140836408364084,0.0,36875.98564133786,2.564479166666666
20,1558.0,0.0,22910.0,22910.0,0.0,57282194.90453113,22139.0,10762699.0,152.55485162834896,22139.0,10762699.0,-25273.0,14.704749679075736,0.0,36766.49223654116,2.386458333333333
