episode,number_of_vehciles,number_of_pedestrians,accumulated_wait_times,accumulated_queue_length,accumulated_pedestrian_wait_times,accumulated_total_fuel_consumption,TL101_stopped,TL101_accumulated_waiting_time,TL101_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,rewards,accumulated_avg_wait_times,accumulated_pedestrian_avg_wait_times,accumulated_average_fuel_consumption,accumulated_avg_queue_length
1,1898.0,0.0,31436.0,31436.0,0.0,78327070.8169857,30648.0,3243607.0,121.2559213316798,30648.0,3243607.0,-641.6199999999999,16.562697576396207,0.0,41268.21433982386,3.274583333333333
2,1856.0,0.0,23038.0,23038.0,0.0,67976716.00007784,22254.0,2920930.0,131.5984468282607,22254.0,2920930.0,-492.93,12.41271551724138,0.0,36625.38577590401,2.3997916666666668
3,1892.0,0.0,25098.0,25098.0,0.0,71348489.24036205,24353.0,1898687.0,132.41554722838438,24353.0,1898687.0,-522.36,13.265327695560254,0.0,37710.617991734696,2.614375
4,1886.0,0.0,26078.0,26078.0,0.0,72902427.16063076,25319.0,1067195.0,131.89915325128788,25319.0,1067195.0,-428.06,13.8271474019088,0.0,38654.521294077815,2.716458333333333
5,1974.0,0.0,23852.0,23852.0,0.0,70484671.1655952,23119.0,784840.0,139.319863204876,23119.0,784840.0,-393.78,12.083080040526848,0.0,35706.52034731267,2.484583333333333
6,2030.0,0.0,23586.0,23586.0,0.0,69305119.08067697,22791.0,800465.0,142.428829185646,22791.0,800465.0,-407.25,11.61871921182266,0.0,34140.452749101954,2.456875
7,1921.0,0.0,24586.0,24586.0,0.0,71433691.06739682,23831.0,1306166.0,137.98031585604417,23831.0,1306166.0,-454.6,12.798542425819884,0.0,37185.67988932682,2.5610416666666667
8,1996.0,0.0,24124.0,24124.0,0.0,70653159.66939807,23347.0,1143693.0,145.01267816000015,23347.0,1143693.0,-433.06000000000006,12.08617234468938,0.0,35397.37458386677,2.5129166666666665
9,1971.0,0.0,24548.0,24548.0,0.0,71219552.64976227,23781.0,845853.0,133.42123630377728,23781.0,845853.0,-404.15,12.454591577879247,0.0,36133.715195211706,2.5570833333333334
10,1915.0,0.0,24664.0,24664.0,0.0,71785427.2553626,23906.0,1307185.0,136.9767143419004,23906.0,1307185.0,-381.93,12.879373368146211,0.0,37485.862796534,2.569166666666667
11,2032.0,0.0,21610.0,21610.0,0.0,67602568.68418136,20848.0,1331551.0,157.47759173038042,20848.0,1331551.0,-381.45,10.63484251968504,0.0,33268.98065166405,2.2510416666666666
12,1991.0,0.0,23396.0,23396.0,0.0,69917863.5720728,22620.0,756644.0,146.84767495930737,22620.0,756644.0,-400.98,11.750878955298845,0.0,35116.95809747504,2.4370833333333333
13,1958.0,0.0,23155.0,23155.0,0.0,69529246.64331052,22357.0,796428.0,144.046936024126,22357.0,796428.0,-399.27,11.825842696629213,0.0,35510.340471557975,2.411979166666667
14,1949.0,0.0,22556.0,22556.0,0.0,68476239.85380998,21779.0,794412.0,145.96854893448722,21779.0,794412.0,-377.59,11.573114417650077,0.0,35134.03789318111,2.3495833333333334
15,1962.0,0.0,21964.0,21964.0,0.0,68833701.89685458,21222.0,779373.0,146.42891829873,21222.0,779373.0,-366.99,11.194699286442406,0.0,35083.43623692894,2.287916666666667
16,1974.0,0.0,20710.0,20710.0,0.0,67432281.88258824,19952.0,716500.0,158.81312211274133,19952.0,716500.0,-338.87,10.491388044579534,0.0,34160.22385136182,2.1572916666666666
17,2012.0,0.0,23972.0,23972.0,0.0,70419834.39755368,23222.0,738444.0,139.40483274587484,23222.0,738444.0,-397.49,11.914512922465208,0.0,34999.917692621115,2.4970833333333333
18,1969.0,0.0,24924.0,24924.0,0.0,71141986.48965022,24173.0,1015930.0,141.07697623487314,24173.0,1015930.0,-405.41,12.658202133062469,0.0,36131.024118664405,2.59625
19,1996.0,0.0,22358.0,22358.0,0.0,68857290.86321041,21578.0,978971.0,146.3879422050965,21578.0,978971.0,-389.7900000000001,11.201402805611222,0.0,34497.640713031265,2.328958333333333
20,1907.0,0.0,23629.0,23629.0,0.0,70911916.0285596,22861.0,725756.0,134.97000642302365,22861.0,725756.0,-377.1,12.390665967488202,0.0,37185.06346542192,2.4613541666666667
