episode,number_of_vehciles,number_of_pedestrians,accumulated_wait_times,accumulated_queue_length,accumulated_pedestrian_wait_times,accumulated_total_fuel_consumption,TL101_stopped,TL101_accumulated_waiting_time,TL101_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,rewards,accumulated_avg_wait_times,accumulated_pedestrian_avg_wait_times,accumulated_average_fuel_consumption,accumulated_avg_queue_length
1,1913.0,0.0,33495.0,33495.0,0.0,79033847.07732975,32708.0,2498652.0,116.52640328855097,32708.0,2498652.0,-671.31,17.509147935180344,0.0,41314.08629238356,3.4890625
2,1955.0,0.0,23346.0,23346.0,0.0,68789819.4397374,22589.0,1195994.0,143.3057238907981,22589.0,1195994.0,-458.32,11.941687979539642,0.0,35186.60840907283,2.431875
3,1832.0,0.0,23930.0,23930.0,0.0,69608418.24927911,23177.0,2579414.0,131.12186392208935,23177.0,2579414.0,-492.38,13.062227074235809,0.0,37995.86148978117,2.4927083333333333
4,1829.0,0.0,24823.0,24823.0,0.0,68959094.84079379,24079.0,1812798.0,130.34002323216976,24079.0,1812798.0,-526.47,13.571897211591033,0.0,37703.16831098621,2.585729166666667
5,1830.0,0.0,25415.0,25415.0,0.0,71010660.87783495,24678.0,1129164.0,126.7594236049848,24678.0,1129164.0,-473.19999999999993,13.887978142076502,0.0,38803.63982395352,2.6473958333333334
6,1962.0,0.0,28114.0,28114.0,0.0,73983876.47319517,27341.0,1279750.0,136.14804819494276,27341.0,1279750.0,-471.44,14.329255861365953,0.0,37708.39779469682,2.928541666666667
7,1990.0,0.0,25405.0,25405.0,0.0,72196353.92429836,24617.0,1395036.0,146.88499311592662,24617.0,1395036.0,-422.86,12.766331658291458,0.0,36279.57483633084,2.646354166666667
8,1947.0,0.0,25419.0,25419.0,0.0,70533441.66943994,24664.0,1810629.0,133.83199770589812,24664.0,1810629.0,-481.5,13.055469953775038,0.0,36226.72915739083,2.6478125
9,2054.0,0.0,23820.0,23820.0,0.0,69458717.42920457,23028.0,1073299.0,141.1976102848838,23028.0,1073299.0,-417.69,11.596884128529698,0.0,33816.31812522131,2.48125
10,1938.0,0.0,23968.0,23968.0,0.0,70352352.64843065,23195.0,1205471.0,136.75381525551842,23195.0,1205471.0,-417.91,12.367389060887511,0.0,36301.52355440178,2.4966666666666666
11,1994.0,0.0,21715.0,21715.0,0.0,68037990.28421253,20937.0,775764.0,147.03018085518283,20937.0,775764.0,-369.44,10.890170511534604,0.0,34121.35921976556,2.261979166666667
12,1924.0,0.0,24772.0,24772.0,0.0,70823204.88660592,24006.0,924662.0,139.18454769299416,24006.0,924662.0,-399.14,12.875259875259877,0.0,36810.397550210975,2.580416666666667
13,2025.0,0.0,21287.0,21287.0,0.0,67649823.25334232,20499.0,764035.0,154.28757613804768,20499.0,764035.0,-363.43,10.512098765432098,0.0,33407.32012510732,2.217395833333333
14,1982.0,0.0,23949.0,23949.0,0.0,70355792.67059855,23176.0,849630.0,139.3445757215504,23176.0,849630.0,-367.41,12.083249243188698,0.0,35497.37268950482,2.4946875
15,1957.0,0.0,23323.0,23323.0,0.0,69229261.60634933,22580.0,841366.0,141.58964018198037,22580.0,841366.0,-371.62,11.917731221257029,0.0,35375.197550510646,2.429479166666667
16,1955.0,0.0,24609.0,24609.0,0.0,70412231.9004053,23856.0,939708.0,138.81330504797415,23856.0,939708.0,-412.84,12.58772378516624,0.0,36016.48690557816,2.5634375
17,1955.0,0.0,25585.0,25585.0,0.0,72449863.69070032,24800.0,971433.0,137.97921170754285,24800.0,971433.0,-417.65,13.08695652173913,0.0,37058.75380598482,2.6651041666666666
18,1984.0,0.0,23223.0,23223.0,0.0,70257913.98262423,22438.0,920064.0,149.8219676478381,22438.0,920064.0,-377.98,11.705141129032258,0.0,35412.25503156464,2.4190625
19,1895.0,0.0,24640.0,24640.0,0.0,70131310.43273868,23919.0,770558.0,136.25253228860387,23919.0,770558.0,-387.0,13.00263852242744,0.0,37008.60708851645,2.566666666666667
20,2027.0,0.0,24710.0,24710.0,0.0,71182131.86239944,23919.0,826950.0,137.01961085303265,23919.0,826950.0,-370.47,12.190429205722744,0.0,35116.986611938555,2.573958333333333
