episode,reward,accumulated_wait_times,accumulated_avg_wait_times,accumulated_queue_length,accumulated_avg_queue_length,accumulated_total_fuel_consumption,accumulated_avg_fuel_consumption,accumulated_pedestrian_wait_times,accumulated_pedestrian_avg_wait_times
1,-188261.0,62537,30.49098000975134,62537,6.514270833333334,99023828.18471076,48280.75484383753,0,0
2,-202379.0,128203,30.93701737451737,128203,13.354479166666666,200753866.61537328,48444.46588208815,0,0
3,-194292.0,191833,30.821497429305914,191833,19.98260416666667,300414359.68648326,48267.08863857379,0,0
4,-154999.0,247367,29.994785982781615,247367,25.76739583333333,393858791.4580361,47757.82605287209,0,0
5,-172607.0,306864,29.973041609689396,306864,31.965,490097440.59726137,47870.42787627089,0,0
6,-144864.0,360526,29.3755398028192,360526,37.55479166666667,582132809.4980054,47431.98969265912,0,0
7,-135834.0,411426,28.847707193941943,411426,42.856875,671617173.3821554,47091.373817287575,0,0
8,-144615.0,464742,28.45591476855253,464742,48.410625,763584085.7159508,46753.862706095446,0,0
9,-131584.0,514167,28.03986475432186,514167,53.5590625,851790757.0160255,46452.02361433307,0,0
10,-144108.0,567526,27.819901960784318,567526,59.11729166666667,943919102.9274426,46270.544261149145,0,0
11,-126735.0,614780,27.445535714285715,614780,64.03958333333334,1030259703.1893128,45993.73674952289,0,0
12,-114021.0,658937,26.99565733950592,658937,68.63927083333333,1114280474.463168,45650.39429977337,0,0
13,-109702.0,701940,26.50030202355784,701940,73.11875,1196696952.4861617,45178.83390539722,0,0
14,-129371.0,749162,26.25414403364289,749162,78.03770833333333,1283715792.7619865,44987.41169658267,0,0
15,-116074.0,793297,25.923044245474152,793297,82.63510416666666,1367413958.7526116,44683.81016772144,0,0
16,-117305.0,836870,25.636257811542706,836870,87.17395833333333,1450481931.5174885,44433.33940440781,0,0
17,-121040.0,880357,25.405662010850744,880357,91.70385416666667,1533308293.4434702,44248.76755868262,0,0
18,-110217.0,920624,25.098800436205018,920624,95.89833333333333,1612826458.2817397,43970.18697605615,0,0
19,-107129.0,962342,24.855157807738003,962342,100.24395833333334,1694133292.4688635,43755.70257939107,0,0
20,-104788.0,999790,24.539541505080752,999790,104.14479166666666,1771105317.4086573,43471.24140711446,0,0
21,-203927.0,1060396,24.81561395708034,1060396,110.45791666666666,1867612359.1025176,43706.26381555587,0,0
22,-155579.0,1109659,24.82292016195781,1109659,115.58947916666666,1954815861.588924,43728.9636397764,0,0
23,-98346.0,1145591,24.52875556697499,1145591,119.33239583333334,2030230624.2126105,43470.16581476128,0,0
24,-104808.0,1182224,24.26916839447376,1182224,123.14833333333333,2107038512.690559,43254.13160122676,0,0
25,-103808.0,1215993,24.002072559314676,1215993,126.6659375,2179597184.9915504,43022.3280761034,0,0
26,-98493.0,1248906,23.713254979398865,1248906,130.094375,2252087485.6564674,42760.88415243829,0,0
27,-111055.0,1284844,23.511272141706925,1284844,133.83791666666667,2326386337.4594293,42570.38386508983,0,0
28,-158416.0,1334141,23.565150578468604,1334141,138.97302083333332,2413141493.5519032,42623.71268306815,0,0
29,-93797.0,1367154,23.31992631255757,1367154,142.411875,2485846024.65051,42401.7675545067,0,0
30,-104830.0,1400662,23.12888257732129,1400662,145.90229166666666,2558032384.0085325,42240.3339554572,0,0
31,-154747.0,1446464,23.160099271475463,1446464,150.67333333333335,2640578922.2373047,42279.70414277968,0,0
32,-111489.0,1481182,22.99864913125165,1481182,154.28979166666667,2714176828.039557,42143.63970683907,0,0
33,-151608.0,1524830,22.990621796031604,1524830,158.83645833333333,2794836292.8939085,42139.13957080255,0,0
34,-103292.0,1554946,22.77975388221506,1554946,161.97354166666668,2863554656.148221,41950.69815628803,0,0
35,-102888.0,1585606,22.58022528873129,1585606,165.16729166666667,2932694662.069654,41763.783797861804,0,0
36,-100371.0,1615737,22.387931273382293,1615737,168.3059375,3001359713.187835,41587.35919617341,0,0
37,-167269.0,1662996,22.43714077552012,1662996,173.22875,3084955967.966932,41622.22358896533,0,0
38,-99355.0,1692447,22.247377553434813,1692447,176.2965625,3152716954.493099,41442.7656557181,0,0
39,-93437.0,1720571,22.055492174180564,1720571,179.22614583333333,3219437823.357447,41269.02389864823,0,0
40,-162000.0,1765487,22.08736175749387,1765487,183.9048958333333,3300911526.005659,41296.49609675298,0,0
41,-99416.0,1793414,21.910180445432665,1793414,186.81395833333332,3367228097.151852,41137.50378302386,0,0
42,-102189.0,1822034,21.75640918480662,1822034,189.7952083333333,3433395415.02428,40997.2347072048,0,0
43,-102529.0,1850963,21.606740130273387,1850963,192.80864583333332,3500525764.483939,40862.48645301449,0,0
44,-132259.0,1886895,21.549983439737776,1886895,196.5515625,3573734258.4560046,40815.1561627703,0,0
45,-97504.0,1912812,21.378411605606097,1912812,199.25125,3637770358.275271,40657.28991970037,0,0
