episode,accumulated_wait_times,accumulated_avg_wait_times,accumulated_queue_length,accumulated_avg_queue_length,accumulated_total_fuel_consumption,accumulated_avg_fuel_consumption,accumulated_pedestrian_wait_times,accumulated_pedestrian_avg_wait_times
0,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
1,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
2,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
3,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
4,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
5,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
6,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
7,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
8,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
9,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
10,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
11,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
12,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
13,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
14,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
15,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
16,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
17,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
18,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
19,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
20,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
21,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
22,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
23,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
24,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
25,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
26,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
27,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
28,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
29,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
30,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
31,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
32,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
33,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
34,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
35,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
36,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
37,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
38,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
39,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
40,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
41,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
42,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
43,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
44,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
45,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
46,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
47,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
48,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
49,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
50,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
51,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
52,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
53,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
54,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
55,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
56,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
57,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
58,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
59,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
60,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
61,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
62,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
63,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
64,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
65,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
66,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
67,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
68,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
