episode,number_of_vehciles,number_of_pedestrians,accumulated_wait_times,accumulated_queue_length,accumulated_pedestrian_wait_times,accumulated_total_fuel_consumption,TL101_stopped,TL101_accumulated_waiting_time,TL101_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,rewards,accumulated_avg_wait_times,accumulated_pedestrian_avg_wait_times,accumulated_average_fuel_consumption,accumulated_avg_queue_length
1,1778.0,0.0,32494.0,32494.0,0.0,74730602.9879929,31735.0,4467984.0,111.11129473929876,31735.0,4467984.0,-786.4200000000001,18.275590551181104,0.0,42030.71034195326,3.384791666666666
2,1917.0,0.0,34132.0,34132.0,0.0,78161963.30594468,33358.0,2933018.0,111.41988527517876,33358.0,2933018.0,-834.4799999999999,17.80490349504434,0.0,40773.06380070145,3.5554166666666664
3,1942.0,0.0,83949.0,83949.0,0.0,116747040.9235177,83171.0,42671667.0,50.65238125081824,83171.0,42671667.0,-1861.9900000000005,43.22811534500515,0.0,60116.91087719758,8.7446875
4,1890.0,0.0,33773.0,33773.0,0.0,79677567.7236236,33019.0,2570016.0,121.95884019610324,33019.0,2570016.0,-787.6600000000001,17.86931216931217,0.0,42157.443240012486,3.5180208333333334
5,1968.0,0.0,32484.0,32484.0,0.0,79994474.51488262,31722.0,1607738.0,118.48470251007356,31722.0,1607738.0,-653.92,16.50609756097561,0.0,40647.59883886312,3.38375
6,1933.0,0.0,30830.0,30830.0,0.0,78084691.57138231,30049.0,1622778.0,123.1819749518117,30049.0,1622778.0,-615.56,15.94930160372478,0.0,40395.59832973736,3.2114583333333333
7,1960.0,0.0,29631.0,29631.0,0.0,76588620.88840139,28864.0,1391123.0,124.73091826150878,28864.0,1391123.0,-516.0800000000002,15.117857142857142,0.0,39075.82698387826,3.0865625
8,1908.0,0.0,27919.0,27919.0,0.0,75601279.48869985,27163.0,1311436.0,129.4632324034826,27163.0,1311436.0,-485.96,14.632599580712789,0.0,39623.31210099573,2.908229166666666
9,2020.0,0.0,32164.0,32164.0,0.0,80750765.80356748,31366.0,1844690.0,116.54383967477877,31366.0,1844690.0,-565.5799999999999,15.922772277227724,0.0,39975.62663542945,3.350416666666667
10,1877.0,0.0,28275.0,28275.0,0.0,76172665.15937215,27529.0,1619965.0,114.03051808827564,27529.0,1619965.0,-505.21,15.06393180607352,0.0,40582.133808935614,2.9453125
11,1977.0,0.0,30738.0,30738.0,0.0,79935150.30677065,29969.0,1375108.0,116.590397345718,29969.0,1375108.0,-590.26,15.547799696509864,0.0,40432.54947231697,3.201875
